Publication Year;Title;Author;Venue;Included?;IC1;IC2;IC3;EC1;EC2;EC3;EC4;EC5;EC6;Source;Rationale;;
2017;Estimating energy impact of software releases and deployment strategies: The KPMG case study;"Verdecchia, Roberto; Procaccianti, Giuseppe; Malavolta, Ivano; Lago, Patricia; Koedijk, Joost;";2017 ACM/IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM);No;FALSO;;;;;;;;;OriginalStudy;Not about mobile web.;;
2019;Software development for mobile computing, the internet of things and wearable devices: Inspecting the past to understand the future;"Grønli, Tor-Morten; Biørn-Hansen, Andreas; Majchrzak, Tim A;";Proceedings of the 52nd Hawaii International Conference on System Sciences;No;;FALSO;;;;;;;;OriginalStudy;Does not focus on runtime characterisitics of mobile web entities.;;
2017;Discovering discussion topics about development of cross-platform mobile applications using a cross-compiler development framework;"Martinez, Matias; Lecomte, Sylvain;";arXiv preprint arXiv:1712.09569;No;;;;;VERO;;;;;OriginalStudy;Is citation only.;;
2019;Applicability of progressive web apps in mobile development;"Kerssens, Tjarco;";;No;;;;;;;VERO;;;OriginalStudy;Is a MSc thesis, provides nice research about performance and energy consumption though.;;
2017;Exploring progressive web applications for health care: Developing a PWA to gather patients' self assessments;"Wahlström, Mikael;";;No;;FALSO;;;;;;;;OriginalStudy;Is about developing a mobile web app.;;
2018;A survey and taxonomy of core concepts and research challenges in cross-platform mobile development;"Biørn-Hansen, Andreas; Grønli, Tor-Morten; Ghinea, Gheorghita;";ACM Computing Surveys (CSUR);No;;;;;;;VERO;;;OriginalStudy;Is a secondary study (survey/overview);;
2015;Smartphone background activities in the wild: Origin, energy drain, and optimization;"Chen, Xiaomeng; Jindal, Abhilash; Ding, Ning; Hu, Yu Charlie; Gupta, Maruti; Vannithamby, Rath;";Proceedings of the 21st Annual International Conference on Mobile Computing and Networking;No;FALSO;;;;;;;;;OriginalStudy;No focus on mobile web.;;
2011;Proportional rate reduction for TCP;"Dukkipati, Nandita; Mathis, Matt; Cheng, Yuchung; Ghobadi, Monia;";Proceedings of the 2011 ACM SIGCOMM conference on Internet measurement conference;No;FALSO;;;;;;;;;OriginalStudy;Not specifically the mobile web.;;
2010;Silo: Exploiting JavaScript and DOM Storage for Faster Page Loads.;"Mickens, James;";WebApps;No;FALSO;;;;;;;;;OriginalStudy;Not specifically the mobile web.;;
2015;Mahimahi: Accurate record-and-replay for {HTTP};"Netravali, Ravi; Sivaraman, Anirudh; Das, Somak; Goyal, Ameesh; Winstein, Keith; Mickens, James; Balakrishnan, Hari;";2015 {USENIX} Annual Technical Conference ({USENIX}{ATC} 15);No;FALSO;;;;;;;;;OriginalStudy;Not specifically the mobile web.;;
2013;Demystifying page load performance with WProf;"Wang, Xiao Sophia; Balasubramanian, Aruna; Krishnamurthy, Arvind; Wetherall, David;";Presented as part of the 10th {USENIX} Symposium on Networked Systems Design and Implementation ({NSDI} 13);No;FALSO;;;;;;;;;OriginalStudy;Not about the mobile web, only normal web.;;
2014;How Speedy is {SPDY}?;"Wang, Xiao Sophia; Balasubramanian, Aruna; Krishnamurthy, Arvind; Wetherall, David;";11th {USENIX} Symposium on Networked Systems Design and Implementation ({NSDI} 14);No;;;;;;;;;VERO;OriginalStudy;In the discussion it has 1 paragraph stating that they did experiments under a mobile environment but its not worth mentioning IMO.;;
2014;Dissecting web latency in ghana;"Zaki, Yasir; Chen, Jay; Pötsch, Thomas; Ahmad, Talal; Subramanian, Lakshminarayanan;";Proceedings of the 2014 Conference on Internet Measurement Conference;No;FALSO;;;;;;;;;OriginalStudy;Not specifically about the mobile web.;;
2020;Implementation of visualizations using a server-client architecture: Effects on performance measurements;"Løtvedt, Pia;";;No;;;;;;;VERO;;;OriginalStudy;Its a BSc thesis.;;
2020;Analyzing Wikipedia Users’ Perceived Quality Of Experience: A Large-Scale Study;"Salutari, Flavia; Da Hora, Diego; Dubuc, Gilles; Rossi, Dario;";IEEE Transactions on Network and Service Management;No;;FALSO;;;;;;;;OriginalStudy;Not focused on data collected at runtime as it uses surveys.;;
2019;DroidMeter: A Measurement Tool to Study Embedded Web Pages;"Tian, Deyu;";arXiv preprint arXiv:1901.07861;No;;FALSO;;;;;;;;OriginalStudy;Does not report  quantitative data.;;
2020;Understanding and Improving the Performance of Web Page Loads;"Ruamviboonsuk, Vaspol;";;No;;;;;;;VERO;;;OriginalStudy;Is a Phd thesis;;
;Does More Bandwidth Really Not Matter (Much)?;"Mostafa, Seraj Al Mahmud; Wittie, Mike P; Goel, Utkarsh;";;No;;;;;;;VERO;;;OriginalStudy;Not in a journal or presented at a conference. Neither is it a book or chapter of a book. Just a paper.;;
2019;Acceleration of Web Loading using Snapshot and Resource Preloading;"여지환;";;No;;;;;;;VERO;;;OriginalStudy;Is a Phd thesis;;
;PLTSpeed: Suggesting Personalized Web Optimizations for Developers;"Nejati, Javad; Balasubramanian, Aruna;";;No;;;;;;;VERO;;;OriginalStudy;More of a summary/poster.;;
2019;Evaluate the performance of AMP and non-AMP websites using machine learning algorithms;"Patel, Bhumi;";;No;;;;;VERO;;;;;OriginalStudy;Is citation only.;;
2018;Accelerating mobile web downloading through context-aware and cross-layer intelligence.;"Qian, Peng;";;No;;;;;;;VERO;;;OriginalStudy;Is a Phd thesis.;;
2018;Web Performance Automation for the People;"Marx, Robin;";Companion Proceedings of the The Web Conference 2018;No;FALSO;;;;;;;;;OriginalStudy;Not focused on mobile web;;
2020;WProfX: A Fine-grained Visualization Tool for Web Page Loads;"Nejati, Javad; Balasubramanian, Aruna;";Proceedings of the ACM on Human-Computer Interaction;No;FALSO;;;;;;;;;OriginalStudy;Not focused on mobile web;;
2017;Adaptive Parallelism in Browsers;"Zambre, Rohit Shahaji;";;No;;;;;;;VERO;;;OriginalStudy;Is a MSc thesis.;;
2014;2014 USENIX Annual Technical Conference;"IX, A;";;No;;;;;;;VERO;;;OriginalStudy;Not a specific paper...;;
2020;adPerf: Characterizing the Performance of Third-party Ads;"Pourghassemi, Behnam; Bonecutter, Jordan; Li, Zhou; Chandramowlishwaran, Aparna;";arXiv preprint arXiv:2002.05666;No;FALSO;;;;;;;;;OriginalStudy;Not focused on mobile web;;
2017;Scalable Redundant Proxy Execution for Low-Latency Web Over Cellular Networks;"Sivakumar, Ashiwan;";;No;;;;;;;VERO;;;OriginalStudy;Is a Phd thesis.;;
2019;Application-Aware Power Management for Interactive Android Applications on HMP Platforms;"Heitmann, Nadja;";;No;;;;;;;VERO;;;OriginalStudy;Is a thesis project report.;;
2019;What-If Analysis of Page Load Time in Web Browsers Using Causal Profiling;"Pourghassemi, Behnam; Amiri Sani, Ardalan; Chandramowlishwaran, Aparna;";Proceedings of the ACM on Measurement and Analysis of Computing Systems;No;FALSO;;;;;;;;;OriginalStudy;More focused on desktop browsers.;;
2019;Accelerating web application loading with snapshot of event and DOM handling;"Yeo, JiHwan; Oh, JinSeok; Moon, Soo-Mook;";Proceedings of the 28th International Conference on Compiler Construction;No;FALSO;;;;;;;;;OriginalStudy;Not about the mobile web.;;
2017;Configtron: Tackling network diversity with heterogeneous configurations.;"Naseer, Usama; Benson, Theophilus;";9th {USENIX} Workshop on Hot Topics in Cloud Computing (HotCloud 17);No;FALSO;;;;;;;;;OriginalStudy;Not about the mobile web.;;
2019;Tackling mobile traffic critical path analysis with passive and active measurements;"Tangari, Gioacchino; Perino, Diego; Finamore, Alessandro; Charalambides, Marinos; Pavlou, George;";2019 Network Traffic Measurement and Analysis Conference (TMA);No;;FALSO;;;;;;;;OriginalStudy;Does not report measurement-based experiment.;;
2019;A survey of techniques for improving efficiency of mobile web browsing;"Mittal, Sparsh; Mattela, Venkat;";Concurrency and Computation: Practice and Experience;No;;;;;;VERO;;;;OriginalStudy;Is a survey.;;
2016;Parallel Performance-Energy Predictive Modeling of Browsers: Case Study of Servo;"Zambre, Rohit; Bergstrom, Lars; Beni, Laleh Aghababaie; Chandramowlishwaran, Aparna;";2016 IEEE 23rd International Conference on High Performance Computing (HiPC);No;FALSO;;;;;;;;;OriginalStudy;Not about the mobile web.;;
2018;Empirically assessing opportunities for prefetching and caching in mobile apps;"Zhao, Yixue; Wat, Paul; Laser, Marcelo Schmitt; Medvidović, Nenad;";Proceedings of the 33rd ACM/IEEE International Conference on Automated Software Engineering;No;FALSO;;;;;;;;;OriginalStudy;More about native apps.;;
2019;Characterizing and detecting inefficient image displaying issues in Android apps;"Li, Wenjie; Jiang, Yanyan; Xu, Chang; Liu, Yepang; Ma, Xiaoxing; Lü, Jian;";2019 IEEE 26th International Conference on Software Analysis, Evolution and Reengineering (SANER);No;FALSO;;;;;;;;;OriginalStudy;About native apps, not mobile web apps.;;
2019;Snapshot-based Loading Acceleration of Web Apps with Nondeterministic JavaScript Execution;"Yeo, Jihwan; Shin, Changhyun; Moon, Soo-Mook;";The World Wide Web Conference;No;FALSO;;;;;;;;;OriginalStudy;Not about mobile web apps.;;
2016;Improving Mobile Network Performance Through Measurement-Driven System Design Approaches;"Rosen, Sanae;";;No;;;;;;;VERO;;;OriginalStudy;Is a Phd/MSc thesis.;;
2019;Characterizing JSON Traffic Patterns on a CDN;"Vargas, Santiago; Goel, Utkarsh; Steiner, Moritz; Balasubramanian, Aruna;";Proceedings of the Internet Measurement Conference;No;FALSO;;;;;;;;;OriginalStudy;Not specifically about the mobile web.;;
2018;Applying Transactional Memory for Concurrency-Bug Failure Recovery in Production Runs;"Chen, Yuxi; Wang, Shu; Lu, Shan; Sankaralingam, Karthikeyan;";IEEE Transactions on Parallel and Distributed Systems;No;FALSO;;;;;;;;;OriginalStudy;Not about the mobile web.;;
2018;Towards Faster Web Page Loads Over Multiple Network Paths;"Salameh, Lynne;";;No;;;;;;;VERO;;;OriginalStudy;Is a Phd thesis.;;
2019;Alohamora: Reviving HTTP/2 Push and Preload by Adapting Policies On-the-Fly;"Kansal, Nikhil;";;No;;;;;;;VERO;;;OriginalStudy;Is a MSc thesis.;;
2018;Design of a Generic Mobile GIS for Professional Users;"Kuper, Paul Vincent;";ISPRS International Journal of Geo-Information;No;FALSO;;;;;;;;;OriginalStudy;Not about the mobile web.;;
2019;Measuring Web quality of experience in cellular networks;"Asrese, Alemnew Sheferaw; Walelgne, Ermias Andargie; Bajpai, Vaibhav; Lutu, Andra; Alay, Özgü; Ott, Jörg;";International Conference on Passive and Active Network Measurement;No;FALSO;;;;;;;;;OriginalStudy;Experiments are implemented on node in cellular network. Not mobile device.;;
2017;Demystifying hardware bottlenecks in mobile web quality of experience;"Dasari, Mallesham; Kelton, Conor; Nejati, Javad; Balasubramanian, Aruna; Das, Samir R;";Proceedings of the SIGCOMM Posters and Demos;No;FALSO;;;;;;;;;OriginalStudy;Just uses a normal browser (desktop).;;
2019;A Large-scale Study of Wikipedia Users' Quality of Experience;"Salutari, Flavia; Da Hora, Diego; Dubuc, Gilles; Rossi, Dario;";The World Wide Web Conference;No;;FALSO;;;;;;;;OriginalStudy;Not focused on data collected at runtime as it uses surveys.;;
2019;ExploreBP: A Simulation Tool for Mobile Browser Energy Optimization;"Zhang, Jin; Wei, Xin; Liu, Zhen; Liu, Fangxin; Li, Tao; Lu, Tingjuan; Gong, Xiaoli;";International Conference on Simulation Tools and Techniques;No;;;;;;;;;VERO;OriginalStudy;"Paper proposes a method to reduce the energy consumption of web browsing by finding the most suitable primary frequency at a specific network speed, 
Also proposes a simulation tool ExploreBP, which is used to simulate the working state of the network speed and different web pages to find the optimal energy consumption configuration.
Verdict: experiments are not the main objective of this study. Main focus lies on their new technique.";;
2014;An Empirical Investigation of Emulators in Mobile Web Research;"Zhang, Dongsong; Lai, Jianwei; Dash, Anupama";Journal of Computer Information Systems;No;FALSO;;;;;;;;;OriginalStudy;Not really about the mobile web but about using emulators to access the mobile web.;;
2020;A Comparative Measurement Study of Web Tracking on Mobile and Desktop Environments;"Yang, Zhiju; Yue, Chuan";Proceedings on Privacy Enhancing Technologies,  Sciendo;No;;FALSO;;;;;;;;OriginalStudy;Reports no real runtime characteristics. More quantities, for example: nr of trackers found. ;;
2014;Desktop and mobile web page comparison: Characteristics, trends, and implications;"Johnson, Troy; Seeling, Patrick;";IEEE Communications Magazine;No;;;;;VERO;;;;;OriginalStudy;Does no real experiments, just analyzes data gather from the httparchive.org, a publicly available dataset of captured web performance metrics.;;
2006;Mobile Host: A Feasibility Analysis of Mobile Web Service Provisioning.;"Srirama, Satish Narayana; Jarke, Matthias; Prinz, Wolfgang";UMICS;No;FALSO;;;;;;;;;OriginalStudy;Focuses on webservices, not the mobile web.;;
2017;Reewa: Runtime energy estimation for web activities on smartphones;"Xu, Ziehen; Wang, Xiaorui;";2017 Eighth International Green and Sustainable Computing Conference (IGSC);No;;;;;;;;;VERO;OriginalStudy;"Proposes REEWA: a runtime energy estimation framework for web activities on smartphones 
that uses ardware performance counters that can accurately record hardware-level events.

They then evaluate a prototype running experiments on a Nexus 4 and 5.
Thus: Main contribution is not the experiment the REEWA";;
2014;Reducing power consumption in graphic intensive Android applications;"Singhai, Amit; Bose, Joy;";2014 Sixth International Conference on Communication Systems and Networks (COMSNETS);No;;;FALSO;;;;;;;OriginalStudy;"Proposes a software based approach to reduce the power consumption of an
Android application which is having higher graphics or
rendering requirements. It consists of involves removing the surface view and directly utilizing the
application's main window surface.

They then conduct several experiments to evaluate their approach. One of these experiments uses the 
Chromium browser.
Thus: Browser is just one of the experiments and the experiments are not the main objective of this study.";;
2018;A QoE-Based Governor for Web Browsing on Heterogeneous Mobile Systems;"Ren, Jie;";2018 IEEE SmartWorld, Ubiquitous Intelligence & Computing, Advanced & Trusted Computing, Scalable Computing & Communications, Cloud & Big Data Computing, Internet of People and Smart City Innovation (SmartWorld/SCALCOM/UIC/ATC/CBDCom/IOP/SCI);No;;;;;;;;;VERO;OriginalStudy;"Proposes a predictive model to schedule the rendering
work to achieve the purpose of maximizing the user quality-ofexperience (QoE) using machine learning techniques, 
They then evaluate the performance of their predictive model by doing an experiment on 1000 webpages.
Thus: experiment is not the main objective of this study.";;
2014;A green analysis of mobile cloud computing applications;"Zhan, Kelie; Lung, Chung-Horng; Srivastava, Pradeep;";Proceedings of the 29th Annual ACM Symposium on Applied Computing;No;;;FALSO;;;;;;;OriginalStudy;"They performed a number of experiments
and detailed evaluations of resource usages and power
consumption for various applications: downloading from Amazon S3, Cloudfront, webbrowsing and video streaming.
Verdict: main focus is not on mobile webapps so no.";;
2016;Wwof: an energy efficient offloading framework for mobile webpage;"Gong, Xiaoli; Liu, Weilai; Zhang, Jin; Xu, Haocong; Zhao, Wenjian; Liu, Chengcheng;";Proceedings of the 13th International Conference on Mobile and Ubiquitous Systems: Computing, Networking and Services;No;;;;;;;;;VERO;OriginalStudy;"Proposes a WWOF: a generic framework to realize the offloading from
local browsers to cloud–Web Worker Offloading Framework.
Then does experiments to compare WWOF and native web worker on both desktop platforms
and mobile devices.
Thus: main contribution is not the experiments.";;
2018;DORA: optimizing smartphone energy efficiency and web browser performance under interference;"Shingari, Davesh; Arunkumar, Akhil; Gaudette, Benjamin; Vrudhula, Sarma; Wu, Carole-Jean;";2018 IEEE International Symposium on Performance Analysis of Systems and Software (ISPASS);No;;;;;;;;;VERO;OriginalStudy;"Proposes DORA, a dynamic frequency
controller that maximizes the energy efficiency of smartphones
subject to user satisfaction demands in the presence of memory interference stemmed from background processes and coscheduled applications.
Then does experiments on a Nexus 5, using a variety of mobile web browsing workloads.
Thus: experiments are not the main focus.";;
2012;Multinets: Policy oriented real-time switching of wireless interfaces on mobile devices;"Nirjon, Shahriar; Nicoara, Angela; Hsu, Cheng-Hsin; Singh, Jatinder; Stankovic, John;";2012 IEEE 18th Real Time and Embedded Technology and Applications Symposium;No;;;;;;;;;VERO;OriginalStudy;"Proposes MultiNets, a system
which is capable of switching between wireless network interfaces on mobile devices in real-time. Aims to o save energy, offload
data traffic, and achieve higher throughput.
Evaluates the system by doing multiple experiments one of which uses a browser.
Thus: experiments are not the main focus and mobile web entities are not the main objective of the study.";;
2020;Smart, Adaptive Energy Optimization for Mobile Web Interactions;"Ren, Jie; Yuan, Lu; Nurmi, Petteri; Wang, Xiaoming; Ma, Miao; Gao, Ling; Tang, Zhanyong; Zheng, Jie; Wang, Zheng;";arXiv preprint arXiv:2005.00749;No;;;;;;;;;VERO;OriginalStudy;"Presents CAMEL , a novel energy optimization system for mobile web interactions. CAMEL leverages machine learning techniques to develop a smart, adaptive scheme to judiciously trade performance for reduced power consumption.
Then does experiments by applying CAMEL to Chromium to show how it effects energy savings.
Verdict: experiments are not the main contribution of this study. ";;
2019;Using Machine Learning to Optimize Web Interactions on Heterogeneous Mobile Multi-cores;"Yuan, Lu; Ren, Jie; Gao, Ling; Tang, Zhanyong; Wang, Zheng;";arXiv preprint arXiv:1906.08689;No;;;;;;;;;VERO;OriginalStudy;"Presents a novel approach for performing energy optimization for interactive mobile web browsing using machine learning technologies. 
They integrate this technique into the Chromium browser and apply it to scrolling and pinching.
Then they do experiments on the 100 top websites to see how it affects energy efficiency.
Verdict: experiments are not the main contribution of this study.";;
2017;Accelerating mobile web loading using cellular link information;"Xie, Xiufeng; Zhang, Xinyu; Zhu, Shilin;";Proceedings of the 15th Annual International Conference on Mobile Systems, Applications, and Services;No;;;;;;;;;VERO;OriginalStudy;"Propose Cellular LinkAware Web loading (CLAW), which boosts mobile Web loading
using a physical-layer informed transport protocol.
They then tested CLAW against traditional TCP and variants using Alexas top websites. 
Verdict: experiments are not the main contribution of this study.";;
2015;Towards a SPDY’ier mobile web?;"Erman, Jeffrey; Gopalakrishnan, Vijay; Jana, Rittwik; Ramakrishnan, Kadangode K;";IEEE/ACM Transactions on Networking;No;FALSO;;;;;;;;;OriginalStudy;Focuses more on the underlying technology of the web. Not on mobile web apps primarily.;;
2010;WebProphet: Automating Performance Prediction for Web Services.;"Li, Zhichun; Zhang, Ming; Zhu, Zhaosheng; Chen, Yan; Greenberg, Albert G; Wang, Yi-Min;";NSDI;No;FALSO;;;;;;;;VERO;OriginalStudy;"Introduces WebProphet, a system that automates performance prediction for web services based on timing perturbation to extract web object dependencies, and then uses these dependencies to predict the performance impact
of changes to the handling of the objects.
Then they do experiments do check its efficiency. 
Verdict: experiments are not the main contribution of this study. In addition it is more focused on web services instead of web apps.";;
2010;Fast and parallel webpage layout;"Meyerovich, Leo A; Bodik, Rastislav;";Proceedings of the 19th international conference on World wide web;No;FALSO;;;;;;;;VERO;OriginalStudy;"Proposes a new algorithm for CSS selector matching, layout solving and font rendering.
Then they do experiments to evaluate its results. 
However, no experiments on mobile devices.
Also, experiments are not the main contribution of this study, focus is on their new algorithm.";;
2017;Nutshell: Scalable whittled proxy execution for low-latency web over cellular networks;"Sivakumar, Ashiwan; Jiang, Chuan; Nam, Yun Seong; Puzhavakath Narayanan, Shankaranarayanan; Gopalakrishnan, Vijay; Rao, Sanjay G; Sen, Subhabrata; Thottethodi, Mithuna; Vijaykumar, TN;";Proceedings of the 23rd Annual International Conference on Mobile Computing and Networking;No;;;;;;;;;VERO;OriginalStudy;"Authors propose NutShell: a technique that can improve the scalability of proxies so they execute JS for many concurrent users.
The technique is evaluated with some experiments. One of these experiments uses a Nexus 5 smartphone to test the effect on latency. 
However the info about this experiment is relatively small.
Verdict: experiments are not the main objective of this study.";;
2018;Impact of device performance on mobile internet QoE;"Dasari, Mallesham; Vargas, Santiago; Bhattacharya, Arani; Balasubramanian, Aruna; Das, Samir R; Ferdman, Michael;";Proceedings of the Internet Measurement Conference 2018;No;;;FALSO;;;;;;;OriginalStudy;"Paper focuses on studying the QoE of three
popular applications – Web browsing, video streaming, and video
telephony – for different device parameters
Verdict: mobile web apps are not the main focus, its just one of the 3 apps.
Also: focus lies more on hardware.";;
2018;Proteus: Network-aware web browsing on heterogeneous mobile systems;"Ren, Jie; Wang, Xiaoming; Fang, Jianbin; Feng, Yansong; Zhu, Dongxiao; Luo, Zhunchen; Zheng, Jie; Wang, Zheng;";Proceedings of the 14th International Conference on emerging Networking EXperiments and Technologies;No;;;;;;;;;VERO;OriginalStudy;"Authors propose Proteus, a novel network-aware approach for optimizing web browsing on heterogeneous multi-core mobile systems.
It uses machine learning techniques to predict which of the
heterogeneous cores to use to render a given webpage and the operating frequencies of the processors.
Is then evaluated by implementing it in the Chromium browser and run it on two ARM big.LITTLE mobile multi-core platforms.
Verdict: main objective is not the experiments.";;
2016;ReWAP: Reducing redundant transfers for mobile web browsing via app-specific resource packaging;"Liu, Xuanzhe; Ma, Yun; Dong, Shuailiang; Liu, Yunxin; Xie, Tao; Huang, Gang;";IEEE Transactions on Mobile Computing;No;;;;;;;;;VERO;OriginalStudy;"Proposes ReWap: an efficient mechanism of resource packaging 
where stable resources are encapsulated and maintained into a 
package, and such a package shall be loaded always from the 
local storage and updated by explicitly refreshing
It evaluates this technique on access traces of 50 mobile Web apps.
Verdict: experiments are not the main objective of this paper, their mechanism is.";;
2015;Flywheel: Google’s data compression proxy for the mobile web;"Agababov, Victor; Buettner, Michael; Chudnovsky, Victor; Cogan, Mark; Greenstein, Ben; McDaniel, Shane; Piatek, Michael; Scott, Colin; Welsh, Matt; Yin, Bolian;";12th {USENIX} Symposium on Networked Systems Design and Implementation ({NSDI} 15);No;;;FALSO;;;;;;VERO;OriginalStudy;"Authors propose Flywheel, an HTTP proxy service that extends the life of mobile data plans by compressing responses in-flight between origin servers and client browsers.
Results are evaluated using  Flywheel server traffic logs and Chrome user metrics reports, 
which are aggregated distributions of metrics from Chrome users who opt to anonymously share such data with Google. 
Main objective is the technique. 
The experiments are just for evaluation and they are not run on mobile or tablet.";;
2016;Mitigating Redundant Data Transfers for Mobile Web Applications via App-Specific Cache Space;"Liu, Xuanzhe; Ma, Yun; Dong, Shuailiang; Liu, Yunxin; Xie, Tao; Huang, Gang; Mei, Hong;";arXiv preprint arXiv:1605.06678;No;;;;;;;;;VERO;OriginalStudy;Is about REWAP, almost the same as their previous paper.;;
2017;Optimization of webpage downloading performance with content-aware mobile edge computing;"Qian, Peng; Wang, Ning; Oh, Bong-Hwan; Ge, Chang; Tafazolli, Rahim;";Proceedings of the Workshop on Mobile Edge Communications;No;;;;;;;;;VERO;OriginalStudy;"Proposes a simple but effective transport-layer optimization technique which requires necessary context information dissemination from the mobile edge computing (MEC) server to user devices where such an algorithm is actually executed. 
To evaluate their technique they run experiments on a nexus phone with a modified Chromium browser.
Verdict: their new technique is the main focus, experiments are secondary.";;
2019;Watchtower: Fast, secure mobile page loads using remote dependency resolution;"Netravali, Ravi; Sivaraman, Anirudh; Mickens, James; Balakrishnan, Hari;";Proceedings of the 17th Annual International Conference on Mobile Systems, Applications, and Services;No;;;;;;;;;VERO;OriginalStudy;"They propose a new, secure proxying scheme for HTTPS traffic, and implement 
WatchTower, a selective proxying system that uses dynamic models of network 
conditions and page structures to only enable RDR when it is predicted to help.
They evaluate watchtower by running experiments.
Verdict: experiments are not the main contribution of this study.";;
2020;An empirical investigation of performance overhead in cross-platform mobile development frameworks;"Biørn-Hansen, Andreas; Rieger, Christoph; Grønli, Tor-Morten; Majchrzak, Tim A; Ghinea, Gheorghita;";;No;FALSO;;;;;;;;;OriginalStudy;"Not specifically about the mobile web. More about cross-platform apps, one of which are PWAs.
Verdict: main focus are native apps.";;
2014;Mining energy-greedy api usage patterns in android apps: an empirical study;"Linares-Vásquez, Mario; Bavota, Gabriele; Bernal-Cárdenas, Carlos; Oliveto, Rocco; Di Penta, Massimiliano; Poshyvanyk, Denys;";Proceedings of the 11th Working Conference on Mining Software Repositories;No;FALSO;;;;;;;;;OriginalStudy;"They mined and analyzed energy-greedy APIs and usage patterns in 55 mobile apps from different domains.
Verdict: focus lies on native apps.";;
2019;On the Energy Footprint of Mobile Testing Frameworks;"Cruz, Luis; Abreu, Rui;";IEEE Transactions on Software Engineering;No;FALSO;;;;;;;;;OriginalStudy;Focuses on UI automationframeworks for mobile apps not the mobile web per se.;;
2020;A Framework for the Automatic Execution of Measurement-based Experiments on Android Devices;Malavolta, I., Grua, E. M., Lam, C. Y., de Vries, R., Tan, F., Zielinski, E., ... & Kaandorp, L.;35th IEEE/ACM International Conference on Automated Software Engineering Workshops (ASEW’20).;No;FALSO;;FALSO;;;;;;;OriginalStudy;Main contribution is the tool and experiments ran don't focus on mobile web apps per se.;;
2013;Estimating mobile application energy consumption using program analysis;"Hao, Shuai; Li, Ding; Halfond, William GJ; Govindan, Ramesh;";;No;;;FALSO;;;;;;;OriginalStudy;Most apps are native apps, one 1 is a browser. Also more focuses on the technique to measure energy, the experiment is just to show it works.;;
2013;Calculating source line level energy information for android applications;"Li, Ding; Hao, Shuai; Halfond, William GJ; Govindan, Ramesh;";2013 35th international conference on software engineering (ICSE);No;;;;;;;;;VERO;OriginalStudy;Again, proposes a technique and to evaluate it uses mostly native apps. Only one is a browser.;;
2012;Web caching on smartphones: ideal vs. reality;"Qian, Feng; Quah, Kee Shen; Huang, Junxian; Erman, Jeffrey; Gerber, Alexandre; Mao, Zhuoqing; Sen, Subhabrata; Spatscheck, Oliver;";Communications of the ACM;No;;;FALSO;;;;;;;OriginalStudy;Examines datasets of doing an experiment using a mobile device...;;
2007;Analysis of caching and replication strategies for web applications;"Sivasubramanian, Swaminathan; Pierre, Guillaume; Van Steen, Maarten; Alonso, Gustavo;";Proceedings of the 10th international conference on Mobile systems, applications, and services;No;FALSO;;;;;;;;;OriginalStudy;Does not focus on mobile web.;;
2018;Security Analysis of Mobile Web Browser Hardware Accessibility: Study with Ambient Light Sensors;"Lee, Sanghak; Ji, Sangwoo; Kim, Jong";International Workshop on Information Security Applications, Springer;No;;FALSO;;;;;;;;OriginalStudy;Doesn't report quantative data of runtime characteristics of mobile web entities.;;
2015;Theoretical modelings for mobile Web service QoE assessment;"Zhang, Meng; Shen, Zhongyi; Zhang, Xin; Luan, Longyuan; Ouyang, Qi";2015 IEEE Wireless Communications and Networking Conference (WCNC), IEEE;No;FALSO;;;;;;;;;OriginalStudy;"Authors propose a methodology for mobile web services QoE assessment.
Then run  experiments to validate this model so experiments are not the main contribution.
However, these experiments are more centered around web services (instead of the mobile web). and also not ran on a mobile device or tablet.";;
2014;Energy–delay tradeoff analysis of user state transition mechanism for mobile web services;"Choi, Hyun-Ho; Lee, Ki-Ho; Lee, Jung-Ryun";Journal of network and computer applications, Elsevier;No;FALSO;;;;;;;;;OriginalStudy;Main focus is the modeling of a user state transition mechanism as a Markov Chain. Experiments are run but not on mobile devices. Also about mobile web services not mobile web apps.;;
2011;An analysis of web caching in current mobile broadband scenarios;"Catrein, Daniel; Lohrer, Bernd; Meyer, Christoph; Rembarz, René; Weidenfeller, Thomas";2011 4th IFIP International Conference on New Technologies, Mobility and Security, IEEE;No;FALSO;;;;;;;;;OriginalStudy;"The authors developed a site model which has been parameterized with a realistic traffic and cost structure for a Western European operator. 
They do some experiments but its not the main focus and they are not on mobile devices.";;
2016;Fine-grained HTTP Web traffic analysis based on large-scale mobile datasets;"Fang, Cheng; Liu, Jun; Lei, Zhenming";IEEE Access, IEEE;No;;;FALSO;;;;;;;OriginalStudy;"The authors analyzed a massive real mobile web traffic dataset to better understand modern mobile web traffic. 
They then created a model which is
based on measurements of network-side traffic. 
No experiments on mobile devices was done.";;
2013;An empirical evaluation of security indicators in mobile web browsers;"Amrutkar, Chaitrali; Traynor, Patrick; Van Oorschot, Paul C";;No;;FALSO;;;;;;;;OriginalStudy;Presents no quantifiable data.;;
2012;Performance analysis of web services on mobile devices;"Mohamed, KamalEldin; Wijesekera, Duminda";Procedia Computer Science, Elsevier;No;FALSO;;;;;;;;;OriginalStudy;"Propose a lightweight framework for hosting Web services on mobile devices.  Then evaluates this framework and how different services perform on a device.
Focus lies on using mobile devices to host web services. This is not
about mobile web apps.";;
